,Time in nano second,Time in Second
Time elapsed was ,103725664,0.103725664
Time elapsed was ,73431146,0.073431146
Time elapsed was ,75321550,0.07532155
Time elapsed was ,77791007,0.077791007
Time elapsed was ,82165936,0.082165936
Time elapsed was ,85964264,0.085964264
Time elapsed was ,83318940,0.08331894
Time elapsed was ,73106535,0.073106535
Time elapsed was,70106780,0.07010678
Time elapsed was ,70746757,0.070746757
Total,795678579,0.795678579
Average Time,79567857.9,0.0795678579
The average time to crack the password is 0.079567858 seconds.,,
