,Time in nano second,Time in second
Time elapsed was ,100873164,0.100873164
Time elapsed was  ,74042492,0.074042492
Time elapsed was ,72167641,0.072167641
Time elapsed was ,73954710,0.07395471
Time elapsed was ,72569087,0.072569087
Time elapsed was,92991820,0.09299182
Time elapsed was ,83605195,0.083605195
Time elapsed was ,82699522,0.082699522
Time elapsed was ,82636951,0.082636951
Time elapsed was ,79331486,0.079331486
Total Time,814872068,0.814872068
Average Time,81487206.8,0.0814872068
The average Time is 0.0814872068 seconds.,,
